group_url,from_id,owner_id,text,label
samsung.galaxy_a,-24240100,-24240100,"Стала известна точная дата выхода Galaxy S21

Сообщается, что Samsung анонсирует линейку Galaxy S21 в середине января, а именно 14-го числа. Аналитик Джон Проссер правильно предсказал дебют линейки iPhone 12 и имеет неплохой послужной список в прошлом, так что мы охотно ему верим.

Источник утверждает, что в день анонса серию флагманов Galaxy S21 можно будет предзаказать, по крайней мере на некоторых рынках. Что еще интереснее, в продажу смартфоны поступят до конца января, а именно 29 -го числа. Это радует, ибо нам придется меньше ждать, чтобы можно было купить новенькие аппараты.

Согласно источнику, в линейку, как и в предыдущей серии, войдет три модели – Galaxy S21, Galaxy S21 Plus и S21 Ultra. Будет шесть доступных цветов, которые разделят между собой все новинки.

Ожидается, что Samsung Galaxy S21 выйдет в сером, розовом, фиолетовом и белом цветах, а Galaxy S21+ будет доступен в черном или серебристом цветах. Версия Ultra представят в черном, серебристом и фиолетовом вариантах.",0
samsung.galaxy_a,563762178,-24240100,Можно ли поставить гугл камеру на j8?,0
samsung.galaxy_a,-24240100,-24240100,"Инсайдер раскрыл технические характеристики Snapdragon 875

Сегодня авторитетный китайский инсайдер [id848751|@Digital] Chat Station раскрыл характеристики будущего флагманского чипсета Qualcomm. Мы давно о нем слышали, но только сейчас узнали его характеристики.

По словам инсайдера, новый Snapdragon 875 представляет собой восьмиядерный чипсет с одним ядром с тактовой частотой 2,84 ГГц (возможно, Cortex-X1), тремя производительными ядрами Cortex-A78 с тактовой частотой 2,42 ГГц и четырьмя ядрами Cortex-A55, работающие на частоте 1,8 ГГц.

Чипсет основан на 5-нм техпроцессе и оснащен графическим процессором Adreno 660. Также наблюдается улучшение кеш-памяти и пропускной способности Snapdragon 875 по сравнению с предшественником Snapdragon 865.

Согласно слухам и утечкам, основным ядром, похоже, окажется ​​Cortex-X1, а его пиковая производительность на 23% выше, чем у ядра Cortex-A78. Чипсет также получит модем Snapdragon X60 5G, который будет поддерживать диапазоны как mmWave. Тот же модем 5G был использован в последней серии iPhone 12 от Apple.

Этот процессор от Qualcomm будет конкурировать с Exynos 2100 и Huawei Kirin 9000. Оба решения также производятся по 5-нм техпроцессу.

Дебют новинки состоится 1 декабря, компания Qualcomm проведет в этот день технологический саммит. Там будут раскрыты все детали касательно Snapdragon 875.",0
samsung.galaxy_a,-24240100,-24240100,"Samsung представил новый сенсор Vizion 33D для отслеживания объектов при 120 кадрах в секунду

Новый сенсор ISOCELL Vizion 33D от Samsung - это времяпролетный 3D-датчик (ToF), который может предоставлять точные данные о расстоянии и отслеживать быстро движущиеся объекты для более быстрой автофокусировки и видеобоке.

Датчик создает карты глубины с разрешением 640 x 480 пикселей. Он может измерять расстояния от 0,2 м до 5 м с разрешением 10 или 12 бит. Он может достигать частоты 120 кадров в секунду для отслеживания с малой задержкой.

При использовании в качестве вспомогательного средства автофокусировки требуется мощность 200 мВт (как для датчика, так и для ИК-подсветки). Для непрерывного отслеживания, необходимого, например, для игр с дополненной реальностью и рендеринга видео с эффектом боке, потребляемая мощность достигает 400 мВт, но это не должно слишком быстро разряжать аккумулятор телефона.

Технология Deep Trench Isolation, входящая в состав ISOCELL, уменьшает перекрестные помехи между пикселями, что помогает сенсору четко отделить объект от фона.

Датчик Vizion 33D также можно использовать для идентификации лица, для защиты приложений мобильных платежей и разблокировки телефона, поэтому есть вероятность того, что этот датчик окажется рядом с селфи-камерой, а не только сзади.

Samsung уже использовал времяпролетный датчик на Galaxy S20 Ultra, и ожидается, что он будет продвигать свой новый датчик, добавляя его в будущие смартфоны, а также другие устройства. В настоящее время Sony является лидером на рынке производства таких сенсоров с долей 50% (в iPad и iPhone используются датчики Sony).",0
samsung.galaxy_a,40969143,-24240100,Здравствуйте. Где можно скачать гугл камеру? А71,0
samsung.galaxy_a,40969143,-24240100,"Здравствуйте, недавно купил а71, шнур зарядный с двух сторон тайпси.
У меня вопрос, а как быть? Есть переходник на usb? Как его к пк подключать? 
Спасибо",0
samsung.galaxy_a,367048406,-24240100,"Как вам панелька ? Самсунг А50.

Открывается свайпом в лево 😊

Пришлось покупать про версию за 100 рублей, чтоб не 2 колонки были, а можно было добавить до 4-х колонок.",0
samsung.galaxy_a,-24240100,-24240100,"На 4PDA эту программу не нашёл, она так же работает с обычными жестамы( Стандартными ) которые на A50.

Ссылка на приложение с плей маркета https://play.google.com/store/apps/details?id=com.fossor.panels .

Пишу для самых умных —> это не реклама( не YouTube канала и не самой программы ).

Мне эта программа очень понравилась и я себе её поставил, выше мой пост со скрином.",0
samsung.galaxy_a,512666428,-24240100,Помогите найти эту картинку как на раб столе,0
samsung.galaxy_a,563762178,-24240100,У кого на каком стоит? И на какой лучше ставить,0
